
Protocol tcp Port Exclusion Ranges

Start Port    End Port      
----------    --------      
      1308        1407      
      1411        1510      
      2605        2704      
      2788        2887      
      3180        3279      
      3289        3388      
      3391        3490      
      3584        3683      
      3749        3848      
      5357        5357      
      7044        7143      
      9754        9853      
     14335       14434      
     14435       14534      
     49669       49768      
     49869       49968      
     50000       50059     *
     50060       50159      

* - Administered port exclusions.

