title,author,expected_series,expected_position,franchise,source,book_id,work_id,series_id,isbn13,ratings_count,average_rating
The Hunger Games,Suzanne Collins,The Hunger Games,1,The Hunger Games,goodreads_dump,2767052,2792775,339872,9780439023481,4899965,4.34
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter,1,Harry Potter,goodreads_dump,3,4640799,167817,9780439554930,4765497,4.45
Twilight,Stephenie Meyer,Twilight,1,Twilight,goodreads_dump,41865,3212258,165622,9780316015844,3941381,3.57
Angels & Demons,Dan Brown,Robert Langdon,1,Robert Langdon,goodreads_dump,960,3338963,446479,9781416524793,2046499,3.86
Divergent,Veronica Roth,Divergent,1,Divergent,goodreads_dump,13335037,13155899,237774,9780062024039,1962813,4.23
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Harry Potter,3,Harry Potter,goodreads_dump,5,2402163,162083,9780439655484,1876252,4.53
The Girl with the Dragon Tattoo,Stieg Larsson,Millennium,1,Millennium,goodreads_dump,2429135,1708725,158565,9780307269751,1858152,4.11
Catching Fire,Suzanne Collins,The Hunger Games,2,The Hunger Games,goodreads_dump,6148028,6171458,339873,9780439023498,1854746,4.30
Harry Potter and the Chamber of Secrets,J.K. Rowling,Harry Potter,2,Harry Potter,goodreads_dump,15881,6231171,169291,9780439064866,1821802,4.38
The Fellowship of the Ring,J.R.R. Tolkien,The Lord of the Rings,1,The Lord of the Rings,goodreads_dump,34,3204327,291504,9780618346257,1813229,4.34
Harry Potter and the Goblet of Fire,J.K. Rowling,Harry Potter,4,Harry Potter,goodreads_dump,6,3046572,164829,9780439139601,1792561,4.53
Harry Potter and the Deathly Hallows,J.K. Rowling,Harry Potter,7,Harry Potter,goodreads_dump,136251,2963218,615726,9780545010221,1784684,4.62
Harry Potter and the Order of the Phoenix,J.K. Rowling,Harry Potter,5,Harry Potter,goodreads_dump,2,2809203,163765,9780439358071,1766895,4.47
Mockingjay,Suzanne Collins,The Hunger Games,3,The Hunger Games,goodreads_dump,7260188,8812783,339874,9780439023511,1743362,4.03
Harry Potter and the Half-Blood Prince,J.K. Rowling,Harry Potter,6,Harry Potter,goodreads_dump,1,41335427,624922,9780439785969,1713866,4.54
"The Lion, the Witch, and the Wardrobe",C.S. Lewis,The Chronicles of Narnia (Publication Order),1,The Chronicles of Narnia (Publication Order),goodreads_dump,100915,4790821,186112,9780060764890,1575387,4.19
The Da Vinci Code,Dan Brown,Robert Langdon,2,Robert Langdon,goodreads_dump,968,2982101,446480,9780307277671,1465770,3.79
The Lightning Thief,Rick Riordan,Percy Jackson and the Olympians,1,Percy Jackson and the Olympians,goodreads_dump,28187,3346751,166250,9780786838653,1411728,4.23
A Game of Thrones,George R.R. Martin,A Song of Ice and Fire,1,A Song of Ice and Fire,goodreads_dump,13496,1466917,157411,9780553588484,1359501,4.45
Fifty Shades of Grey,E.L. James,Fifty Shades,1,Fifty Shades,goodreads_dump,10818853,15732562,273035,9781612130293,1348198,3.66
The Giver,Lois Lowry,The Giver,1,The Giver,goodreads_dump,3636,2543234,162712,9780385732550,1311422,4.12
Little Women,Louisa May Alcott,Little Women,1,Little Women,goodreads_dump,1934,3244642,978089,9780451529305,1276989,4.04
City of Bones,Cassandra Clare,The Mortal Instruments,1,The Mortal Instruments,goodreads_dump,256683,2267189,161525,9781416914280,1181693,4.12
New Moon,Stephenie Meyer,Twilight,2,Twilight,goodreads_dump,49041,3203964,165597,9780316160193,1161751,3.52
